name,city,state,country
"Camber Aeroparts Ltd.","Calgary","","CANADA"
"Cantey Technology Consulting","Hollywood","FL","United States"
"Capital Aero","Mira Loma","CA","UNITED STATES"
"Capital AeroSpares, Inc. (CAS Aviation)","Los Angeles","CA","UNITED STATES"
"Carlyle Aviation Partners","Miami","FL","UNITED STATES"
"Carpe-Diem Aviation Group","Colomier","","France"
"CATISA AVIATION S.L.","Madrid","","Spain"
"CAVU Aerospace, Inc","Stuttgart","AR","UNITED STATES"
"Celtic Airspares LLC/Celtic Airspares Ltd.","Clearwater","FL","UNITED STATES"
"Central Aviation Solutions, Inc.","Fellsmere","FL","UNITED STATES"
"Central Purchasing, Inc.","Delray Beach","FL","UNITED STATES"
"CFM Materials, LP","Grapevine","TX","UNITED STATES"
"CG LOGISTICS PVT LTD-AVIATION WING","DELHI","","India"
"Chabok Aviation FZCO","Dubai","","UNITED ARAB EMIRATES"
"Cham Gill Aviation","Mission, BC","","CANADA"
"CHANDSARA AVIATION PRIVATE LIMITED","MEERUT","Se","India"
"Chin Aviation Limited","Kowloon","","Hong Kong"
"China SkyAero Engine Maintenance Co.,Ltd","","","PEOPLE'S REPUBLIC OF CHINA"
"Chromalloy Material Solutions, LLC","Fort Lauderdale","FL","UNITED STATES"
"Clare Air","Ashdod","","Israel"
"Clare Air","Miami","FL","UNITED STATES"
"Classic Air Parts PTE Ltd.","","","SINGAPORE"
"Close Air Support, Ltd.","Grand Rapids","MI","UNITED STATES"
"CM AEROSPACE INC","Laval, Quebec","","Canada"
"CMN DISTRIBUTORS PTE LTD","Singapore","","Singapore"
"Coast Material Sales","San Clemente","CA","UNITED STATES"
"Cobalt Aero Services","Hot Springs","AR","UNITED STATES"
"Colossus Air","Lalitpur","Ba","NEPAL"
"Comat Aerospace Corp.","North Hollywood","CA",""
"Comav Asset Management LLC","Victorville","CA","UNITED STATES"
"Commercial Aviation Resources","Dallas","TX","UNITED STATES"
"Component Stockers, LLC","Rockville","MD","United States"
"Component Technique LTD","Co.Roscommon","","IRELAND"
"Cooland GmbH","Pirmasens","","Germany"
"CORE Aviation Services","SCOTTSDALE","AZ","United States"
"Core Parts, LLC","Mesa","AZ","United States"
"Corporate Jet Support Inc","Teterboro","NJ","UNITED STATES"
"COTECH TRADING (GB) LTD","BEDFORD","","United Kingdom"
"CRANINDO SERVICES UTAMA, PT.","JAKARTA","","INDONESIA"
"Crestwood Technology Group LLC","Yonkers","NY","UNITED STATES"
"Cross Wind Airplane Spare Parts LLC","Abu Dhabi","","United Arab Emirates"
"CRS Jet Spares, Inc.","Fort Lauderdale","FL","UNITED STATES"
"CSG Parts, LLC","St. Augustine","FL","UNITED STATES"
"CTCOA, LLC","Cerritos","CA","UNITED STATES"
"Custom Aeronautical Support","Christchurch, Canterbury","","NEW ZEALAND"
"D&P Aircraft Maintenance Group Corp.","Miami","FL","USA"
"DA Aviation Pty Ltd","Mooloolah Valley","","Australia"
"DAITech Aero Composites (Thailand) Co., Ltd","Bangkok","","Thailand"
"Dallas Aviation, Inc.","Arlington","TX","UNITED STATES"
"DAR International, Inc.","Irving","TX","UNITED STATES"
"Dash Air Parts LLC","Miami Lakes","FL","United States"
"DASI, LLC","Plant City","FL","UNITED STATES"
"DASI, LLC","Doral","FL","UNITED STATES"
"DASPL LTD","AUSTIN","TX","United States"
"DAVID & GOLIATH","MUMBAI","","India"
"Davis Aviation, Inc. dba King Air Nation","Brandon","MS","UNITED STATES"
"DBK AERO LTD","Lancing, West Sussex","","UNITED KINGDOM"
"Dealing Air Company Limited","Guangzhou","","CHINA"
"Dealing Air Company Limited","","","CHINA"
"DEEPAK PRECISION WORKS PVT. LTD.","MUMBAI","","India"
"Defense Technology Equipment Inc. (DTE)","Sterling","VA","UNITED STATES"
"Delta Aviation, Inc.","Miami","FL","UNITED STATES"
"Delta International Technologies, Inc.","Tukwila","WA","UNITED STATES"
"Delta Material Services","Atlanta","GA","UNITED STATES"
"Delta Wing Aviation FZ LLC","Ras Al Khaimah","","United Arab Emirates"
"Desert Land Aerospace","Riyadh","","Saudi Arabia"
"DIGI ELECTRONICS HK LIMITED","HongKong","","Hong Kong"
"Divyanshi Aviation Services Pvt Ltd","New Delhi, Delhi","","INDIA"
"DNR Aviation Services","Istanbul","","Turkey"
"Dodson International Air","Douglasville","GA","UNITED STATES"
"Dragon Aviation Capital (Singapore) Pte Ltd","Singapore","Si","Singapore"
"Dragon Rich Aviation Co., Ltd.","Hong Kong","","HONG KONG"
